"Tempurature","Sex","Total.egg.mass"
"1",32.8784751659259,"Female",0.94028740702197
"2",29.3395326798782,"Male",0.715200491948053
"3",39.9037609668449,"Female",0.627294169273227
"4",28.5251134680584,"Male",0.766211881767958
"5",33.7291133124381,"Female",1.24064397695474
"6",44.1335529461503,"Male",0.703322363086045
"7",32.2610864462331,"Female",0.729372695554048
"8",42.1165739465505,"Male",1.36623305524699
"9",28.2766368472949,"Female",1.18295597587712
"10",28.628150280565,"Male",1.19950106553733
"11",34.0701892925426,"Female",1.44453808688559
"12",28.235837733373,"Male",0.730811268789694
"13",42.2204856202006,"Female",0.620153730502352
"14",43.1908183032647,"Male",1.1676398285199
"15",36.6484418325126,"Female",0.993066010531038
"16",38.8045273721218,"Male",0.601107083028182
"17",25.0146843399853,"Female",0.959652147023007
"18",30.2746562100947,"Male",0.758226106408983
